iter	Passed	Remaining
901	36864	4005
902	36901	3963
903	36933	3922
904	36963	3880
905	37003	3839
906	37038	3797
907	37072	3756
908	37119	3716
909	37152	3674
910	37184	3632
911	37221	3591
912	37257	3550
913	37291	3508
914	37323	3467
915	37359	3425
916	37393	3384
917	37426	3343
918	37460	3301
919	37491	3260
920	37522	3218
921	37555	3177
922	37588	3135
923	37624	3094
924	37659	3053
925	37695	3012
926	37729	2971
927	37764	2930
928	37795	2888
929	37828	2847
930	37863	2806
931	37896	2764
932	37930	2723
933	37964	2682
934	37996	2641
935	38032	2600
936	38070	2559
937	38104	2518
938	38135	2477
939	38168	2436
940	38200	2395
941	38230	2353
942	38263	2312
943	38302	2272
944	38333	2231
945	38363	2189
946	38395	2148
947	38432	2108
948	38461	2066
949	38490	2025
950	38524	1984
951	38563	1944
952	38597	1903
953	38631	1862
954	38661	1821
955	38691	1780
956	38725	1740
957	38758	1699
958	38789	1658
959	38828	1617
960	38859	1577
961	38893	1536
962	38928	1495
963	38968	1455
964	39019	1415
965	39066	1374
966	39112	1334
967	39156	1294
968	39197	1254
969	39243	1213
970	39290	1173
971	39333	1133
972	39379	1092
973	39421	1052
974	39465	1011
975	39500	971
976	39532	930
977	39570	890
978	39606	849
979	39650	809
980	39692	768
981	39726	728
982	39759	687
983	39795	647
984	39828	606
985	39864	566
986	39897	525
987	39934	485
988	39969	444
989	40003	404
990	40039	363
991	40075	323
992	40107	282
993	40140	242
994	40176	201
995	40209	161
996	40248	121
997	40285	80
998	40319	40
999	40352	0
